name,cuisine,avg_del_time,avg_price_for_2,offers
Enchante Cafe & Confectionery,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
HUMMINGBIRD CAFE,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
OM SANTOSHI DHABA,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Healing Rice Bowls,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Authentic Chinese Town,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Chill Restaurant - Radisson Blu,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Millet Marvels,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Pralines & cream,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Mahalaxmi Tiffins,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Dumb Biryani,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
McCafe by McDonald's,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Cupcake Bliss Cake & Desserts,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Sanskari Biryani,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
VENKAT FITNESS,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
De Scooper,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
THE BAKING CULTURE,"Cafe, Beverages, Desserts, Continental, Italian, American",37 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Sri Maha Raja Rajeswari Tiffins Meals Currys and Snacks At Fec,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Daily Relish,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
HANWIN KERALA CAFE,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Peppy Chicken,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Savla's Home Food,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Kings Kitchen,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Gelatissimo,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Milano Ice Cream,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
palakkad parottas,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Chemistry With Chinestry,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Steel Cafe by Kunal Gir,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Amys Cafe,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
CHOP STICKS ,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Alfa Sweets,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Fatty Fingers,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Tenner Cafe by 10DOWNING Street,"Indian, Biryani, Hyderabadi",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Amrita Savouring Food,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Hum Tum Masala Delight,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Cheesecakes By CakeZone,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
The Betel Leaf Co.,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Cheesecakes by Harley's,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
The Westin,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Kouzina Kafe - The Food Court,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
SRI SAI DARSHINI,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
