name,cuisine,avg_del_time,avg_price_for_2,offers
Bhukha Sher,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
BON APPETIT CAFE,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
SANDYS SANDWICH N MORE,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Eat And Walk,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Hocco Eatery,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Sri broholic kitchens,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Bakery Paradise,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Santoss Pro Dhaba,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Red Noodles,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
SHAHI BIRYANIS & PULAOS,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Hum Tum Masala Delight,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Shri Ruchi Snacks Corner,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Oh! Punjab,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
The Gravity Lounge,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Mythree Tiffins,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
KHAANSAAB EXPRESS,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
EK PYALI CHAI,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Wow Indian Fast Food,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
SPICY BIRYANI,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Sizzling Joe,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Sri Madhurams,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Om SaiRam Hospitality Services,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
The Juice Company,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Absolute Froot,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Masti Ccafe Bar,Indian,45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
PIZZA CORNER,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
HUNGRY BURGER,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
CHAITRA FOODS,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Frio Thickshake,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Giggle Water,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
PIZZA CRAFT,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Box365 - Desi Meals,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
The Tim Cafe,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Gazab - Shawarma & Wraps,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Sai Dhamam Pure Veg,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Wow Indian Fast Food,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Le - Kaffeine & More,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Chef's Kitchen,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Zorro - Milkshakes and Thickshakes,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
